2020/11/04 08:40:11 [error] 7#7: *373 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /__webpack_hmr/client HTTP/1.1", upstream: "http://172.22.0.3:3000/__webpack_hmr/client", host: "localhost", referrer: "http://localhost/login"
2020/11/04 08:40:42 [error] 7#7: *375 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /__webpack_hmr/client HTTP/1.1", upstream: "http://172.22.0.3:3000/__webpack_hmr/client", host: "localhost", referrer: "http://localhost/login"
2020/11/04 08:41:13 [error] 7#7: *377 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /__webpack_hmr/client HTTP/1.1", upstream: "http://172.22.0.3:3000/__webpack_hmr/client", host: "localhost", referrer: "http://localhost/login"
2020/11/04 08:41:44 [error] 7#7: *379 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /__webpack_hmr/client HTTP/1.1", upstream: "http://172.22.0.3:3000/__webpack_hmr/client", host: "localhost", referrer: "http://localhost/login"
2020/11/04 08:42:15 [error] 7#7: *381 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /__webpack_hmr/client HTTP/1.1", upstream: "http://172.22.0.3:3000/__webpack_hmr/client", host: "localhost", referrer: "http://localhost/login"
2020/11/04 08:42:46 [error] 7#7: *383 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /__webpack_hmr/client HTTP/1.1", upstream: "http://172.22.0.3:3000/__webpack_hmr/client", host: "localhost", referrer: "http://localhost/login"
2020/11/04 08:43:17 [error] 7#7: *385 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /__webpack_hmr/client HTTP/1.1", upstream: "http://172.22.0.3:3000/__webpack_hmr/client", host: "localhost", referrer: "http://localhost/login"
2020/11/04 08:43:48 [error] 7#7: *387 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /__webpack_hmr/client HTTP/1.1", upstream: "http://172.22.0.3:3000/__webpack_hmr/client", host: "localhost", referrer: "http://localhost/login"
2020/11/04 08:44:19 [error] 7#7: *389 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /__webpack_hmr/client HTTP/1.1", upstream: "http://172.22.0.3:3000/__webpack_hmr/client", host: "localhost", referrer: "http://localhost/login"
2020/11/04 08:44:50 [error] 7#7: *391 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /__webpack_hmr/client HTTP/1.1", upstream: "http://172.22.0.3:3000/__webpack_hmr/client", host: "localhost", referrer: "http://localhost/login"
2020/11/04 08:45:21 [error] 7#7: *393 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /__webpack_hmr/client HTTP/1.1", upstream: "http://172.22.0.3:3000/__webpack_hmr/client", host: "localhost", referrer: "http://localhost/login"
2020/11/04 08:45:52 [error] 7#7: *395 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /__webpack_hmr/client HTTP/1.1", upstream: "http://172.22.0.3:3000/__webpack_hmr/client", host: "localhost", referrer: "http://localhost/login"
2020/11/04 08:46:23 [error] 7#7: *397 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /__webpack_hmr/client HTTP/1.1", upstream: "http://172.22.0.3:3000/__webpack_hmr/client", host: "localhost", referrer: "http://localhost/login"
2020/11/04 08:46:54 [error] 7#7: *399 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /__webpack_hmr/client HTTP/1.1", upstream: "http://172.22.0.3:3000/__webpack_hmr/client", host: "localhost", referrer: "http://localhost/login"
2020/11/04 08:47:25 [error] 7#7: *401 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /__webpack_hmr/client HTTP/1.1", upstream: "http://172.22.0.3:3000/__webpack_hmr/client", host: "localhost", referrer: "http://localhost/login"
2020/11/04 08:47:56 [error] 7#7: *403 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /__webpack_hmr/client HTTP/1.1", upstream: "http://172.22.0.3:3000/__webpack_hmr/client", host: "localhost", referrer: "http://localhost/login"
2020/11/04 08:48:26 [error] 7#7: *405 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /__webpack_hmr/client HTTP/1.1", upstream: "http://172.22.0.3:3000/__webpack_hmr/client", host: "localhost", referrer: "http://localhost/login"
2020/11/04 08:48:57 [error] 7#7: *407 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /__webpack_hmr/client HTTP/1.1", upstream: "http://172.22.0.3:3000/__webpack_hmr/client", host: "localhost", referrer: "http://localhost/login"
2020/11/04 08:49:28 [error] 7#7: *409 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /__webpack_hmr/client HTTP/1.1", upstream: "http://172.22.0.3:3000/__webpack_hmr/client", host: "localhost", referrer: "http://localhost/login"
2020/11/04 08:49:59 [error] 7#7: *411 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /__webpack_hmr/client HTTP/1.1", upstream: "http://172.22.0.3:3000/__webpack_hmr/client", host: "localhost", referrer: "http://localhost/login"
2020/11/04 08:50:30 [error] 7#7: *413 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /__webpack_hmr/client HTTP/1.1", upstream: "http://172.22.0.3:3000/__webpack_hmr/client", host: "localhost", referrer: "http://localhost/login"
2020/11/04 08:51:01 [error] 7#7: *415 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /__webpack_hmr/client HTTP/1.1", upstream: "http://172.22.0.3:3000/__webpack_hmr/client", host: "localhost", referrer: "http://localhost/login"
2020/11/04 08:51:32 [error] 7#7: *417 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /__webpack_hmr/client HTTP/1.1", upstream: "http://172.22.0.3:3000/__webpack_hmr/client", host: "localhost", referrer: "http://localhost/login"
2020/11/04 08:52:03 [error] 7#7: *419 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /__webpack_hmr/client HTTP/1.1", upstream: "http://172.22.0.3:3000/__webpack_hmr/client", host: "localhost", referrer: "http://localhost/login"
2020/11/04 08:52:34 [error] 7#7: *421 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /__webpack_hmr/client HTTP/1.1", upstream: "http://172.22.0.3:3000/__webpack_hmr/client", host: "localhost", referrer: "http://localhost/login"
2020/11/04 08:53:05 [error] 7#7: *423 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /__webpack_hmr/client HTTP/1.1", upstream: "http://172.22.0.3:3000/__webpack_hmr/client", host: "localhost", referrer: "http://localhost/login"
2020/11/04 08:53:36 [error] 7#7: *425 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /__webpack_hmr/client HTTP/1.1", upstream: "http://172.22.0.3:3000/__webpack_hmr/client", host: "localhost", referrer: "http://localhost/login"
2020/11/04 08:54:07 [error] 7#7: *427 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /__webpack_hmr/client HTTP/1.1", upstream: "http://172.22.0.3:3000/__webpack_hmr/client", host: "localhost", referrer: "http://localhost/login"
2020/11/04 08:54:38 [error] 7#7: *429 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /__webpack_hmr/client HTTP/1.1", upstream: "http://172.22.0.3:3000/__webpack_hmr/client", host: "localhost", referrer: "http://localhost/login"
2020/11/04 08:59:41 [error] 7#7: *528 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/sse", host: "localhost", referrer: "http://localhost/"
2020/11/04 09:00:44 [error] 7#7: *536 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/sse", host: "localhost", referrer: "http://localhost/login"
2020/11/04 09:01:56 [error] 7#7: *538 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/sse", host: "localhost", referrer: "http://localhost/login"
